Event ID,Season,MatchDay,Year,Month,Day,Date,Home Team,Away Team,Home Score,Away Score,Home ML,Draw ML,Away ML,,,
,AP25,15,2025,10,26,10/26/25,TOL,PAC,2,2,-170,340,400,,,
,AP25,15,2025,10,26,10/26/25,ASL,NEC,3,4,130,255,190,,,
,AP25,16,2025,10,31,10/31/25,PUE,CAZ,0,3,475,310,-180,,,
,AP25,16,2025,10,31,10/31/25,NEC,SAN,4,1,-175,350,400,,,
,AP25,16,2025,10,31,10/31/25,ASL,JUA,1,2,125,240,210,,,
,AP25,16,2025,11,1,11/1/25,ATLX,TOL,0,0,400,340,-175,,,
,AP25,16,2025,11,1,11/1/25,AME,LEO,2,0,-300,450,700,,,
,AP25,16,2025,11,1,11/1/25,MTY,TIG,1,1,175,225,155,,,
,AP25,16,2025,11,2,11/2/25,PUM,TIJ,4,1,-115,275,290,,,
,AP25,16,2025,11,2,11/2/25,QRO,MAZ,1,0,115,245,230,,,
,AP25,16,2025,11,2,11/2/25,PAC,GDL,0,1,160,235,170,,,
,AP25,17,2025,11,7,11/7/25,JUA,QRO,1,2,-210,330,550,,,
,AP25,17,2025,11,7,11/7/25,MAZ,NEC,1,1,205,275,115,,,
,AP25,17,2025,11,7,11/7/25,TIJ,ATLX,2,0,-155,320,360,,,
,AP25,17,2025,11,8,11/8/25,GDL,MTY,4,2,125,245,210,,,
,AP25,17,2025,11,8,11/8/25,TOL,AME,2,0,125,265,195,,,
,AP25,17,2025,11,8,11/8/25,CAZ,PUM,2,3,-125,290,310,,,
,AP25,17,2025,11,8,11/8/25,TIG,ASL,3,1,-230,390,550,,,
